,snip,latitud,longitud
454,296046,14.684692,-90.642014
455,276478,14.684692,-90.642014
456,343847,14.684692,-90.642014
457,359884,14.684692,-90.642014
458,341761,14.684692,-90.642014
459,320096,14.684692,-90.642014
460,335285,14.684692,-90.642014
461,330544,14.684692,-90.642014
462,318218,14.684692,-90.642014
463,342145,14.684692,-90.642014
464,330547,14.684692,-90.642014
465,342142,14.684692,-90.642014
466,275897,14.684692,-90.642014
467,276551,14.684692,-90.642014
468,299953,14.684692,-90.642014
469,299435,14.684692,-90.642014
470,320094,14.684692,-90.642014
471,299922,14.684692,-90.642014
472,332025,14.684692,-90.642014
473,299923,14.684692,-90.642014
474,330573,14.684692,-90.642014
475,339552,14.684692,-90.642014
476,359719,14.684692,-90.642014
477,276495,14.684692,-90.642014
478,341757,14.684692,-90.642014
479,337042,14.684692,-90.642014
480,359718,14.684692,-90.642014
481,342144,14.684692,-90.642014
482,342469,14.684692,-90.642014
483,275898,14.684692,-90.642014
484,341759,14.684692,-90.642014
485,313562,14.684692,-90.642014
486,275901,14.684692,-90.642014
487,318145,14.684692,-90.642014
488,361671,14.684692,-90.642014
489,329950,14.684692,-90.642014
490,276492,14.684692,-90.642014
491,276480,14.684692,-90.642014
492,341758,14.684692,-90.642014
493,275903,14.684692,-90.642014
494,275900,14.684692,-90.642014
495,275899,14.684692,-90.642014
496,276497,14.684692,-90.642014
497,330571,14.684692,-90.642014
498,317022,14.684692,-90.642014
499,342284,14.684692,-90.642014
500,264517,14.684692,-90.642014
501,342147,14.684692,-90.642014
502,330046,14.684692,-90.642014
503,342146,14.684692,-90.642014
504,342278,14.684692,-90.642014
505,313643,14.684692,-90.642014
506,313580,14.684692,-90.642014
507,342282,14.684692,-90.642014
508,299949,14.684692,-90.642014
509,361669,14.684692,-90.642014
510,366162,14.684692,-90.642014
511,132034,14.719115,-90.64648
512,357219,14.719115,-90.64648
513,279693,14.719115,-90.64648
514,320953,14.719115,-90.64648
515,333082,14.719115,-90.64648
516,298175,14.719115,-90.64648
517,371658,14.719115,-90.64648
518,371653,14.719115,-90.64648
519,305779,14.719115,-90.64648
520,371648,14.719115,-90.64648
521,371656,14.719115,-90.64648
522,343831,14.719115,-90.64648
523,304696,14.719115,-90.64648
524,357154,14.719115,-90.64648
525,344668,14.719115,-90.64648
526,154717,14.719115,-90.64648
527,371650,14.719115,-90.64648
528,264474,14.719115,-90.64648
529,132033,14.719115,-90.64648
530,34317,14.719115,-90.64648
531,242732,14.719115,-90.64648
532,279111,14.719115,-90.64648
533,357153,14.719115,-90.64648
534,357163,14.719115,-90.64648
535,41817,14.719115,-90.64648
536,137478,14.719115,-90.64648
537,357156,14.719115,-90.64648
538,186377,14.719115,-90.64648
539,342205,14.719115,-90.64648
540,304693,14.719115,-90.64648
541,371647,14.719115,-90.64648
542,60911,14.719115,-90.64648
543,315188,14.719115,-90.64648
544,276291,14.719115,-90.64648
545,328140,14.719115,-90.64648
546,304697,14.719115,-90.64648
547,371659,14.719115,-90.64648
548,315186,14.719115,-90.64648
549,259053,14.719115,-90.64648
550,344846,14.719115,-90.64648
551,186315,14.719115,-90.64648
552,344922,14.719115,-90.64648
553,186375,14.719115,-90.64648
554,353124,14.719115,-90.64648
555,281102,14.719115,-90.64648
556,264471,14.719115,-90.64648
557,259057,14.719115,-90.64648
558,186362,14.719115,-90.64648
559,167814,14.719115,-90.64648
560,357157,14.719115,-90.64648
561,344667,14.719115,-90.64648
562,73949,14.719115,-90.64648
563,360001,14.719115,-90.64648
564,344929,14.719115,-90.64648
565,324609,14.719115,-90.64648
566,357160,14.719115,-90.64648
567,259059,14.719115,-90.64648
568,344927,14.719115,-90.64648
569,168495,14.719115,-90.64648
570,318156,14.719115,-90.64648
571,304695,14.719115,-90.64648
572,352783,14.719115,-90.64648
573,333088,14.719115,-90.64648
574,333071,14.719115,-90.64648
575,336933,14.719115,-90.64648
576,149509,14.719115,-90.64648
577,170845,14.719115,-90.64648
578,97325,14.719115,-90.64648
579,92218,14.719115,-90.64648
580,371638,14.719115,-90.64648
581,304698,14.719115,-90.64648
582,186328,14.719115,-90.64648
